0.00000,0.03780,0.00725,0.12056,0.09434,0.00011,0.00000,0.11340,0.14206,0.00146,0.01785,0.03181,0.15935,0.08890,0.18512
0.03780,0.00000,0.07740,0.00005,0.10551,0.14197,0.00814,0.05256,0.02691,0.07917,0.00289,0.14336,0.13313,0.14055,0.05055
0.00725,0.07740,0.00000,0.07839,0.00023,0.08227,0.00000,0.16456,0.01193,0.10205,0.13174,0.00025,0.09129,0.11087,0.14177
0.12056,0.00005,0.07839,0.00000,0.06068,0.16116,0.00298,0.04436,0.00013,0.14001,0.00320,0.16172,0.09025,0.13587,0.00062
0.09434,0.10551,0.00023,0.06068,0.00000,0.03456,0.05940,0.16256,0.00451,0.16604,0.15446,0.00136,0.00515,0.09007,0.06002
0.00011,0.14197,0.08227,0.16116,0.03456,0.00000,0.09435,0.08766,0.17738,0.00000,0.05526,0.00060,0.05192,0.00000,0.11343
0.00000,0.00814,0.00000,0.00298,0.05940,0.09435,0.00000,0.13741,0.04534,0.06767,0.02206,0.06649,0.17131,0.18527,0.13957
0.11340,0.05256,0.16456,0.04436,0.16256,0.08766,0.13741,0.00000,0.08295,0.01708,0.01035,0.11543,0.01167,0.00000,0.00000
0.14206,0.02691,0.01193,0.00013,0.00451,0.17738,0.04534,0.08295,0.00000,0.16260,0.15055,0.04396,0.01018,0.12214,0.01936
0.00146,0.07917,0.10205,0.14001,0.16604,0.00000,0.06767,0.01708,0.16260,0.00000,0.00109,0.05556,0.11261,0.00093,0.09504
0.01785,0.00289,0.13174,0.00320,0.15446,0.05526,0.02206,0.01035,0.15055,0.00109,0.00000,0.17438,0.15950,0.06547,0.05121
0.03181,0.14336,0.00025,0.16172,0.00136,0.00060,0.06649,0.11543,0.04396,0.05556,0.17438,0.00000,0.00309,0.05929,0.14270
0.15935,0.13313,0.09129,0.09025,0.00515,0.05192,0.17131,0.01167,0.01018,0.11261,0.15950,0.00309,0.00000,0.00028,0.00026
0.08890,0.14055,0.11087,0.13587,0.09007,0.00000,0.18527,0.00000,0.12214,0.00093,0.06547,0.05929,0.00028,0.00000,0.00036
0.18512,0.05055,0.14177,0.00062,0.06002,0.11343,0.13957,0.00000,0.01936,0.09504,0.05121,0.14270,0.00026,0.00036,0.00000
