0.00000,0.20491,0.04029,0.16545,0.00000,0.14633,0.01280,0.14005,0.00525,0.00000,0.11032,0.00591,0.00896,0.10499,0.01287,0.04187
0.20491,0.00000,0.00028,0.00026,0.08714,0.00006,0.01350,0.00009,0.08944,0.10942,0.00020,0.10808,0.14967,0.09569,0.14108,0.00019
0.04029,0.00028,0.00000,0.08484,0.08142,0.06460,0.00055,0.13992,0.00026,0.03088,0.00066,0.03983,0.18382,0.13341,0.19898,0.00027
0.16545,0.00026,0.08484,0.00000,0.02261,0.06042,0.04626,0.00008,0.13890,0.06150,0.02603,0.15963,0.10450,0.02716,0.00205,0.10006
0.00000,0.08714,0.08142,0.02261,0.00000,0.14350,0.00002,0.00503,0.04337,0.07986,0.19361,0.19910,0.00087,0.14301,0.00045,0.00002
0.14633,0.00006,0.06460,0.06042,0.14350,0.00000,0.18991,0.00000,0.00000,0.18978,0.04810,0.00476,0.00001,0.00000,0.14678,0.00605
0.01280,0.01350,0.00055,0.04626,0.00002,0.18991,0.00000,0.08477,0.15205,0.00030,0.01774,0.10533,0.15494,0.19060,0.02373,0.00749
0.14005,0.00009,0.13992,0.00008,0.00503,0.00000,0.08477,0.00000,0.13525,0.16508,0.05939,0.17307,0.00900,0.02511,0.00004,0.06313
0.00525,0.08944,0.00026,0.13890,0.04337,0.00000,0.15205,0.13525,0.00000,0.06589,0.15477,0.00003,0.00013,0.04661,0.16198,0.00607
0.00000,0.10942,0.03088,0.06150,0.07986,0.18978,0.00030,0.16508,0.06589,0.00000,0.00008,0.00001,0.12053,0.00538,0.00006,0.17123
0.11032,0.00020,0.00066,0.02603,0.19361,0.04810,0.01774,0.05939,0.15477,0.00008,0.00000,0.00011,0.18858,0.00002,0.05934,0.14105
0.00591,0.10808,0.03983,0.15963,0.19910,0.00476,0.10533,0.17307,0.00003,0.00001,0.00011,0.00000,0.03564,0.00005,0.09695,0.07149
0.00896,0.14967,0.18382,0.10450,0.00087,0.00001,0.15494,0.00900,0.00013,0.12053,0.18858,0.03564,0.00000,0.01773,0.00000,0.02563
0.10499,0.09569,0.13341,0.02716,0.14301,0.00000,0.19060,0.02511,0.04661,0.00538,0.00002,0.00005,0.01773,0.00000,0.00024,0.21000
0.01287,0.14108,0.19898,0.00205,0.00045,0.14678,0.02373,0.00004,0.16198,0.00006,0.05934,0.09695,0.00000,0.00024,0.00000,0.15546
0.04187,0.00019,0.00027,0.10006,0.00002,0.00605,0.00749,0.06313,0.00607,0.17123,0.14105,0.07149,0.02563,0.21000,0.15546,0.00000
