0.00000,0.00573,0.03513,0.00000,0.09432,0.03450,0.05528,0.00000,0.01486,0.06555,0.04999,0.00000,0.00000,0.04764,0.17781,0.04015,0.04247,0.00000,0.05983,0.00000,0.00000,0.03863,0.00000,0.23811,0.00000
0.00573,0.00000,0.02931,0.22804,0.00000,0.00000,0.00000,0.00000,0.01637,0.27601,0.02973,0.00000,0.00000,0.03202,0.00000,0.06624,0.03261,0.00000,0.00000,0.00000,0.00000,0.01977,0.00000,0.26417,0.00000
0.03513,0.02931,0.00000,0.00000,0.00000,0.25178,0.04992,0.02968,0.13039,0.04657,0.00000,0.00000,0.00000,0.01020,0.04611,0.04242,0.00000,0.00000,0.02838,0.09181,0.00000,0.01629,0.19199,0.00000,0.00000
0.00000,0.22804,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03767,0.00000,0.02971,0.00000,0.00000,0.00000,0.40959,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02476,0.00000,0.00000,0.27024
0.09432,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05375,0.12980,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31384,0.00000,0.00000,0.18877,0.00000,0.33387,0.00000
0.03450,0.00000,0.25178,0.00000,0.00000,0.00000,0.00000,0.00000,0.01205,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13050,0.00000,0.00000,0.29834,0.00000,0.27283,0.00000,0.00000,0.00000,0.00000
0.05528,0.00000,0.04992,0.00000,0.00000,0.00000,0.00000,0.18251,0.00281,0.00000,0.28419,0.33362,0.00000,0.00000,0.09167,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.02968,0.00000,0.05375,0.00000,0.18251,0.00000,0.01891,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.42893,0.20238,0.08384,0.00000,0.00000,0.00000
0.01486,0.01637,0.13039,0.03767,0.12980,0.01205,0.00281,0.01891,0.00000,0.04331,0.02181,0.02252,0.04700,0.07978,0.00311,0.04308,0.01820,0.07880,0.01791,0.03012,0.01745,0.00928,0.02061,0.05980,0.06979
0.06555,0.27601,0.04657,0.00000,0.00000,0.00000,0.00000,0.00000,0.04331,0.00000,0.00000,0.00000,0.00000,0.29672,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.27184,0.00000,0.00000,0.00000,0.00000
0.04999,0.02973,0.00000,0.02971,0.00000,0.00000,0.28419,0.00000,0.02181,0.00000,0.00000,0.32407,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11299,0.00000,0.00000,0.00000,0.12249,0.00000,0.02502
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33362,0.00000,0.02252,0.00000,0.32407,0.00000,0.00000,0.00000,0.00000,0.11554,0.00000,0.12638,0.00000,0.00000,0.00000,0.07787,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18102,0.27195,0.00000,0.00000,0.16416,0.00000,0.44452,0.04675,0.00000,0.00000
0.04764,0.03202,0.01020,0.00000,0.00000,0.00000,0.00000,0.00000,0.07978,0.29672,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18398,0.00000,0.00000,0.00000,0.00000,0.33968,0.00000,0.00998
0.17781,0.00000,0.04611,0.40959,0.00000,0.00000,0.09167,0.00000,0.00311,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.28498,0.00000,0.00000,0.00000,0.00000,0.00000
