0.00000,0.01032,0.07825,0.17500,0.00455,0.20814,0.00123,0.19560,0.11535,0.03662,0.03514,0.13978
0.01032,0.00000,0.12615,0.18003,0.01804,0.06489,0.10374,0.12064,0.12624,0.07642,0.00540,0.16814
0.07825,0.12615,0.00000,0.00000,0.03527,0.15803,0.01602,0.11968,0.08354,0.12183,0.26017,0.00140
0.17500,0.18003,0.00000,0.00000,0.16128,0.07357,0.00533,0.00641,0.16120,0.02668,0.18636,0.02415
0.00455,0.01804,0.03527,0.16128,0.00000,0.07710,0.08899,0.25277,0.02830,0.19657,0.11397,0.01940
0.20814,0.06489,0.15803,0.07357,0.07710,0.00000,0.18879,0.00561,0.01478,0.18560,0.00822,0.01528
0.00123,0.10374,0.01602,0.00533,0.08899,0.18879,0.00000,0.05328,0.20347,0.03549,0.12854,0.17511
0.19560,0.12064,0.11968,0.00641,0.25277,0.00561,0.05328,0.00000,0.08778,0.00360,0.02019,0.13443
0.11535,0.12624,0.08354,0.16120,0.02830,0.01478,0.20347,0.08778,0.00000,0.13969,0.03935,0.00028
0.03662,0.07642,0.12183,0.02668,0.19657,0.18560,0.03549,0.00360,0.13969,0.00000,0.02905,0.14844
0.03514,0.00540,0.26017,0.18636,0.11397,0.00822,0.12854,0.02019,0.03935,0.02905,0.00000,0.17360
0.13978,0.16814,0.00140,0.02415,0.01940,0.01528,0.17511,0.13443,0.00028,0.14844,0.17360,0.00000
