0.00000,0.07549,0.02720,0.06826,0.10947,0.02217,0.15723,0.00121,0.11545,0.00981,0.01642,0.05506,0.09982,0.00763,0.02875,0.00090,0.05673,0.09486,0.00000,0.05353
0.07549,0.00000,0.01985,0.00054,0.00272,0.08394,0.01337,0.03967,0.04302,0.01715,0.06662,0.00007,0.00568,0.15028,0.06278,0.11999,0.15500,0.00042,0.12078,0.02265
0.02720,0.01985,0.00000,0.00114,0.16418,0.00003,0.00025,0.13745,0.07590,0.00009,0.08390,0.01075,0.00044,0.10591,0.07111,0.06671,0.08937,0.03952,0.04668,0.05949
0.06826,0.00054,0.00114,0.00000,0.03030,0.04976,0.00000,0.15543,0.06391,0.00280,0.00635,0.11409,0.06441,0.02855,0.03270,0.12440,0.06942,0.05202,0.13459,0.00133
0.10947,0.00272,0.16418,0.03030,0.00000,0.13063,0.04925,0.00000,0.00000,0.08596,0.02192,0.05900,0.08697,0.02748,0.00003,0.06736,0.02615,0.01056,0.12604,0.00196
0.02217,0.08394,0.00003,0.04976,0.13063,0.00000,0.03142,0.08513,0.09398,0.00000,0.02507,0.03353,0.00000,0.05444,0.15474,0.01181,0.03740,0.05672,0.00000,0.12921
0.15723,0.01337,0.00025,0.00000,0.04925,0.03142,0.00000,0.13589,0.01452,0.01552,0.04164,0.06423,0.03001,0.06995,0.05808,0.13726,0.08590,0.01959,0.06379,0.01208
0.00121,0.03967,0.13745,0.15543,0.00000,0.08513,0.13589,0.00000,0.00210,0.10032,0.09237,0.00000,0.04017,0.05414,0.03189,0.00000,0.03254,0.01569,0.00277,0.07323
0.11545,0.04302,0.07590,0.06391,0.00000,0.09398,0.01452,0.00210,0.00000,0.16069,0.12491,0.00000,0.05906,0.06450,0.00024,0.06174,0.00664,0.00000,0.09150,0.02289
0.00981,0.01715,0.00009,0.00280,0.08596,0.00000,0.01552,0.10032,0.16069,0.00000,0.00000,0.11691,0.03107,0.02665,0.12537,0.10298,0.10384,0.08031,0.00026,0.02027
0.01642,0.06662,0.08390,0.00635,0.02192,0.02507,0.04164,0.09237,0.12491,0.00000,0.00000,0.09821,0.10364,0.00000,0.04052,0.05104,0.05202,0.14825,0.02703,0.00008
0.05506,0.00007,0.01075,0.11409,0.05900,0.03353,0.06423,0.00000,0.00000,0.11691,0.09821,0.00000,0.00000,0.17539,0.05333,0.01635,0.02981,0.00003,0.06495,0.10830
0.09982,0.00568,0.00044,0.06441,0.08697,0.00000,0.03001,0.04017,0.05906,0.03107,0.10364,0.00000,0.00000,0.12152,0.13608,0.02056,0.06866,0.00004,0.00204,0.12982
0.00763,0.15028,0.10591,0.02855,0.02748,0.05444,0.06995,0.05414,0.06450,0.02665,0.00000,0.17539,0.12152,0.00000,0.00263,0.00712,0.00000,0.09048,0.01251,0.00082
0.02875,0.06278,0.07111,0.03270,0.00003,0.15474,0.05808,0.03189,0.00024,0.12537,0.04052,0.05333,0.13608,0.00263,0.00000,0.04574,0.03023,0.02425,0.10132,0.00022
0.00090,0.11999,0.06671,0.12440,0.06736,0.01181,0.13726,0.00000,0.06174,0.10298,0.05104,0.01635,0.02056,0.00712,0.04574,0.00000,0.00000,0.06786,0.00000,0.09818
0.05673,0.15500,0.08937,0.06942,0.02615,0.03740,0.08590,0.03254,0.00664,0.10384,0.05202,0.02981,0.06866,0.00000,0.03023,0.00000,0.00000,0.05897,0.03054,0.06678
0.09486,0.00042,0.03952,0.05202,0.01056,0.05672,0.01959,0.01569,0.00000,0.08031,0.14825,0.00003,0.00004,0.09048,0.02425,0.06786,0.05897,0.00000,0.10821,0.13220
0.00000,0.12078,0.04668,0.13459,0.12604,0.00000,0.06379,0.00277,0.09150,0.00026,0.02703,0.06495,0.00204,0.01251,0.10132,0.00000,0.03054,0.10821,0.00000,0.06699
0.05353,0.02265,0.05949,0.00133,0.00196,0.12921,0.01208,0.07323,0.02289,0.02027,0.00008,0.10830,0.12982,0.00082,0.00022,0.09818,0.06678,0.13220,0.06699,0.00000
